Report Date,Borough,Community District,Case Type,Cases,Individuals
09/30/2019,Bronx,2,All Case Types,467,"1,070"
09/30/2019,Bronx,3,All Case Types,834,"1,934"
09/30/2019,Bronx,4,All Case Types,"1,010","2,300"
09/30/2019,Bronx,5,All Case Types,927,"2,132"
09/30/2019,Bronx,6,All Case Types,724,"1,616"
09/30/2019,Bronx,7,All Case Types,633,"1,364"
09/30/2019,Bronx,8,All Case Types,161,326
09/30/2019,Bronx,9,All Case Types,878,"1,992"
09/30/2019,Bronx,10,All Case Types,242,519
09/30/2019,Bronx,11,All Case Types,394,841
09/30/2019,Bronx,12,All Case Types,867,"1,894"
09/30/2019,Bronx,Unknown CD,All Case Types,"1,589","2,821"
09/30/2019,Brooklyn,1,All Case Types,241,482
09/30/2019,Brooklyn,2,All Case Types,269,428
09/30/2019,Brooklyn,3,All Case Types,948,"1,804"
09/30/2019,Brooklyn,4,All Case Types,369,720
09/30/2019,Brooklyn,5,All Case Types,"1,311","2,769"
09/30/2019,Brooklyn,6,All Case Types,146,266
09/30/2019,Brooklyn,7,All Case Types,125,241
09/30/2019,Brooklyn,8,All Case Types,409,767
09/30/2019,Brooklyn,9,All Case Types,355,629
09/30/2019,Brooklyn,10,All Case Types,64,123
09/30/2019,Brooklyn,11,All Case Types,106,209
09/30/2019,Brooklyn,12,All Case Types,75,135
09/30/2019,Brooklyn,13,All Case Types,211,403
09/30/2019,Brooklyn,14,All Case Types,308,575
09/30/2019,Brooklyn,15,All Case Types,96,163
09/30/2019,Brooklyn,16,All Case Types,765,"1,597"
09/30/2019,Brooklyn,17,All Case Types,632,"1,269"
09/30/2019,Brooklyn,18,All Case Types,401,818
09/30/2019,Brooklyn,Unknown CD,All Case Types,"1,284","2,222"
09/30/2019,Manhattan,1,All Case Types,223,477
09/30/2019,Manhattan,2,All Case Types,32,45
09/30/2019,Manhattan,3,All Case Types,340,580
09/30/2019,Manhattan,4,All Case Types,203,291
09/30/2019,Manhattan,5,All Case Types,85,124
09/30/2019,Manhattan,6,All Case Types,109,139
09/30/2019,Manhattan,7,All Case Types,200,328
09/30/2019,Manhattan,8,All Case Types,90,137
09/30/2019,Manhattan,9,All Case Types,395,733
09/30/2019,Manhattan,10,All Case Types,793,"1,459"
09/30/2019,Manhattan,11,All Case Types,770,"1,414"
09/30/2019,Manhattan,12,All Case Types,395,740
09/30/2019,Manhattan,Unknown CD,All Case Types,"1,942","2,669"
09/30/2019,Queens,1,All Case Types,509,679
09/30/2019,Queens,2,All Case Types,299,399
09/30/2019,Queens,3,All Case Types,147,278
09/30/2019,Queens,4,All Case Types,131,235
09/30/2019,Queens,5,All Case Types,132,255
09/30/2019,Queens,6,All Case Types,33,55
09/30/2019,Queens,7,All Case Types,132,249
09/30/2019,Queens,8,All Case Types,165,292
09/30/2019,Queens,9,All Case Types,169,309
09/30/2019,Queens,10,All Case Types,141,272
09/30/2019,Queens,11,All Case Types,17,27
09/30/2019,Queens,12,All Case Types,905,"1,829"
09/30/2019,Queens,13,All Case Types,352,693
09/30/2019,Queens,14,All Case Types,528,"1,134"
09/30/2019,Queens,Unknown CD,All Case Types,"1,034","1,796"
09/30/2019,Staten Island,1,All Case Types,409,963
09/30/2019,Staten Island,2,All Case Types,50,99
09/30/2019,Staten Island,3,All Case Types,27,57
09/30/2019,Staten Island,Unknown CD,All Case Types,98,176
08/31/2019,Bronx,1,All Case Types,912,"2,041"
08/31/2019,Bronx,2,All Case Types,466,"1,064"
08/31/2019,Bronx,3,All Case Types,833,"1,977"
08/31/2019,Bronx,4,All Case Types,"1,017","2,284"
08/31/2019,Bronx,5,All Case Types,916,"2,104"
08/31/2019,Bronx,6,All Case Types,708,"1,582"
08/31/2019,Bronx,7,All Case Types,629,"1,362"
08/31/2019,Bronx,8,All Case Types,172,344
08/31/2019,Bronx,9,All Case Types,865,"1,949"
08/31/2019,Bronx,10,All Case Types,238,521
08/31/2019,Bronx,11,All Case Types,389,818
08/31/2019,Bronx,12,All Case Types,866,"1,924"
08/31/2019,Bronx,Unknown CD,All Case Types,"1,571","2,810"
08/31/2019,Brooklyn,1,All Case Types,238,468
08/31/2019,Brooklyn,2,All Case Types,262,420
08/31/2019,Brooklyn,3,All Case Types,922,"1,756"
08/31/2019,Brooklyn,4,All Case Types,362,711
08/31/2019,Brooklyn,5,All Case Types,"1,269","2,682"
08/31/2019,Brooklyn,6,All Case Types,144,264
08/31/2019,Brooklyn,7,All Case Types,127,259
08/31/2019,Brooklyn,8,All Case Types,420,778
08/31/2019,Brooklyn,9,All Case Types,352,626
08/31/2019,Brooklyn,10,All Case Types,61,114
08/31/2019,Brooklyn,11,All Case Types,98,201
08/31/2019,Brooklyn,12,All Case Types,76,134
08/31/2019,Brooklyn,13,All Case Types,210,420
08/31/2019,Brooklyn,14,All Case Types,314,579
08/31/2019,Brooklyn,15,All Case Types,94,159
08/31/2019,Brooklyn,16,All Case Types,761,"1,591"
08/31/2019,Brooklyn,17,All Case Types,620,"1,287"
08/31/2019,Brooklyn,18,All Case Types,394,809
08/31/2019,Brooklyn,Unknown CD,All Case Types,"1,258","2,172"
08/31/2019,Manhattan,1,All Case Types,222,467
08/31/2019,Manhattan,2,All Case Types,32,45
08/31/2019,Manhattan,3,All Case Types,333,587
08/31/2019,Manhattan,4,All Case Types,220,310
08/31/2019,Manhattan,5,All Case Types,85,119
08/31/2019,Manhattan,6,All Case Types,115,146
08/31/2019,Manhattan,7,All Case Types,196,319
08/31/2019,Manhattan,8,All Case Types,89,134
08/31/2019,Manhattan,9,All Case Types,396,720
08/31/2019,Manhattan,10,All Case Types,755,"1,409"
08/31/2019,Manhattan,11,All Case Types,766,"1,422"
08/31/2019,Manhattan,12,All Case Types,390,714
08/31/2019,Manhattan,Unknown CD,All Case Types,"1,880","2,614"
08/31/2019,Queens,1,All Case Types,519,684
08/31/2019,Queens,2,All Case Types,300,393
08/31/2019,Queens,3,All Case Types,148,282
08/31/2019,Queens,4,All Case Types,124,222
08/31/2019,Queens,5,All Case Types,130,246
08/31/2019,Queens,6,All Case Types,34,55
08/31/2019,Queens,7,All Case Types,120,227
08/31/2019,Queens,8,All Case Types,165,294
08/31/2019,Queens,9,All Case Types,160,303
08/31/2019,Queens,10,All Case Types,138,257
08/31/2019,Queens,11,All Case Types,18,27
08/31/2019,Queens,12,All Case Types,885,"1,774"
08/31/2019,Queens,13,All Case Types,338,662
08/31/2019,Queens,14,All Case Types,499,"1,064"
08/31/2019,Queens,Unknown CD,All Case Types,"1,032","1,812"
08/31/2019,Staten Island,1,All Case Types,393,909
08/31/2019,Staten Island,2,All Case Types,47,89
08/31/2019,Staten Island,3,All Case Types,25,55
08/31/2019,Staten Island,Unknown CD,All Case Types,92,165
07/31/2019,Bronx,1,All Case Types,892,"2,012"
07/31/2019,Bronx,2,All Case Types,459,"1,058"
07/31/2019,Bronx,3,All Case Types,825,"1,960"
07/31/2019,Bronx,4,All Case Types,"1,021","2,297"
07/31/2019,Bronx,5,All Case Types,900,"2,081"
07/31/2019,Bronx,6,All Case Types,719,"1,621"
07/31/2019,Bronx,7,All Case Types,626,"1,330"
07/31/2019,Bronx,8,All Case Types,164,328
07/31/2019,Bronx,9,All Case Types,846,"1,895"
07/31/2019,Bronx,10,All Case Types,233,508
07/31/2019,Bronx,11,All Case Types,390,817
07/31/2019,Bronx,12,All Case Types,866,"1,870"
07/31/2019,Bronx,Unknown CD,All Case Types,"1,532","2,773"
07/31/2019,Brooklyn,1,All Case Types,231,447
07/31/2019,Brooklyn,2,All Case Types,261,415
07/31/2019,Brooklyn,3,All Case Types,923,"1,752"
07/31/2019,Brooklyn,4,All Case Types,361,696
07/31/2019,Brooklyn,5,All Case Types,"1,268","2,631"
07/31/2019,Brooklyn,6,All Case Types,152,274
07/31/2019,Brooklyn,7,All Case Types,124,255
07/31/2019,Brooklyn,8,All Case Types,437,819
07/31/2019,Brooklyn,9,All Case Types,350,616
07/31/2019,Brooklyn,10,All Case Types,63,114
07/31/2019,Brooklyn,11,All Case Types,104,207
07/31/2019,Brooklyn,12,All Case Types,76,130
07/31/2019,Brooklyn,13,All Case Types,205,407
07/31/2019,Brooklyn,14,All Case Types,309,584
07/31/2019,Brooklyn,15,All Case Types,94,161
07/31/2019,Brooklyn,16,All Case Types,750,"1,557"
07/31/2019,Brooklyn,17,All Case Types,616,"1,306"
07/31/2019,Brooklyn,18,All Case Types,387,770
07/31/2019,Brooklyn,Unknown CD,All Case Types,"1,279","2,206"
07/31/2019,Manhattan,1,All Case Types,219,467
07/31/2019,Manhattan,2,All Case Types,31,43
07/31/2019,Manhattan,3,All Case Types,327,579
07/31/2019,Manhattan,4,All Case Types,221,317
07/31/2019,Manhattan,5,All Case Types,89,127
07/31/2019,Manhattan,6,All Case Types,103,125
07/31/2019,Manhattan,7,All Case Types,186,305
07/31/2019,Manhattan,8,All Case Types,88,130
07/31/2019,Manhattan,9,All Case Types,375,674
07/31/2019,Manhattan,10,All Case Types,769,"1,418"
07/31/2019,Manhattan,11,All Case Types,785,"1,444"
07/31/2019,Manhattan,12,All Case Types,392,709
07/31/2019,Manhattan,Unknown CD,All Case Types,"1,894","2,599"
07/31/2019,Queens,1,All Case Types,539,722
07/31/2019,Queens,2,All Case Types,291,378
07/31/2019,Queens,3,All Case Types,144,275
07/31/2019,Queens,4,All Case Types,119,211
07/31/2019,Queens,5,All Case Types,129,242
07/31/2019,Queens,6,All Case Types,34,55
07/31/2019,Queens,7,All Case Types,125,223
07/31/2019,Queens,8,All Case Types,166,302
07/31/2019,Queens,9,All Case Types,160,309
07/31/2019,Queens,10,All Case Types,144,273
07/31/2019,Queens,11,All Case Types,20,29
07/31/2019,Queens,12,All Case Types,867,"1,697"
07/31/2019,Queens,13,All Case Types,327,623
07/31/2019,Queens,14,All Case Types,513,"1,070"
07/31/2019,Queens,Unknown CD,All Case Types,"1,047","1,805"
07/31/2019,Staten Island,1,All Case Types,412,947
07/31/2019,Staten Island,2,All Case Types,45,85
07/31/2019,Staten Island,3,All Case Types,27,58
07/31/2019,Staten Island,Unknown CD,All Case Types,97,178
06/30/2019,Bronx,1,All Case Types,893,"1,995"
06/30/2019,Bronx,2,All Case Types,463,"1,026"
06/30/2019,Bronx,3,All Case Types,845,"1,968"
06/30/2019,Bronx,4,All Case Types,999,"2,230"
06/30/2019,Bronx,5,All Case Types,904,"2,082"
06/30/2019,Bronx,6,All Case Types,717,"1,663"
06/30/2019,Bronx,7,All Case Types,608,"1,301"
06/30/2019,Bronx,8,All Case Types,174,343
06/30/2019,Bronx,9,All Case Types,833,"1,880"
06/30/2019,Bronx,10,All Case Types,229,492
06/30/2019,Bronx,11,All Case Types,379,809
06/30/2019,Bronx,12,All Case Types,840,"1,815"
06/30/2019,Bronx,Unknown CD,All Case Types,"1,537","2,770"
06/30/2019,Brooklyn,1,All Case Types,230,449
06/30/2019,Brooklyn,2,All Case Types,259,410
06/30/2019,Brooklyn,3,All Case Types,905,"1,707"
06/30/2019,Brooklyn,4,All Case Types,357,695
06/30/2019,Brooklyn,5,All Case Types,"1,250","2,613"
06/30/2019,Brooklyn,6,All Case Types,160,293
06/30/2019,Brooklyn,7,All Case Types,124,252
06/30/2019,Brooklyn,8,All Case Types,437,838
06/30/2019,Brooklyn,9,All Case Types,344,607
06/30/2019,Brooklyn,10,All Case Types,66,121
06/30/2019,Brooklyn,11,All Case Types,103,210
06/30/2019,Brooklyn,12,All Case Types,79,132
06/30/2019,Brooklyn,13,All Case Types,198,403
06/30/2019,Brooklyn,14,All Case Types,315,610
06/30/2019,Brooklyn,15,All Case Types,101,171
06/30/2019,Brooklyn,16,All Case Types,762,"1,599"
06/30/2019,Brooklyn,17,All Case Types,632,"1,326"
06/30/2019,Brooklyn,18,All Case Types,385,778
06/30/2019,Brooklyn,Unknown CD,All Case Types,"1,272","2,170"
06/30/2019,Manhattan,1,All Case Types,225,474
06/30/2019,Manhattan,2,All Case Types,29,38
06/30/2019,Manhattan,3,All Case Types,333,583
06/30/2019,Manhattan,4,All Case Types,217,309
06/30/2019,Manhattan,5,All Case Types,91,128
06/30/2019,Manhattan,6,All Case Types,109,140
06/30/2019,Manhattan,7,All Case Types,176,291
06/30/2019,Manhattan,8,All Case Types,82,118
06/30/2019,Manhattan,9,All Case Types,372,662
06/30/2019,Manhattan,10,All Case Types,759,"1,394"
06/30/2019,Manhattan,11,All Case Types,769,"1,404"
06/30/2019,Manhattan,12,All Case Types,391,722
06/30/2019,Manhattan,Unknown CD,All Case Types,"1,823","2,495"
06/30/2019,Queens,1,All Case Types,526,692
06/30/2019,Queens,2,All Case Types,283,366
06/30/2019,Queens,3,All Case Types,144,288
06/30/2019,Queens,4,All Case Types,119,206
06/30/2019,Queens,5,All Case Types,126,240
06/30/2019,Queens,6,All Case Types,32,53
06/30/2019,Queens,7,All Case Types,129,224
06/30/2019,Queens,8,All Case Types,157,283
06/30/2019,Queens,9,All Case Types,160,288
06/30/2019,Queens,10,All Case Types,135,252
06/30/2019,Queens,11,All Case Types,21,30
06/30/2019,Queens,12,All Case Types,867,"1,732"
06/30/2019,Queens,13,All Case Types,335,643
06/30/2019,Queens,14,All Case Types,501,"1,035"
06/30/2019,Queens,Unknown CD,All Case Types,"1,051","1,853"
06/30/2019,Staten Island,1,All Case Types,405,900
06/30/2019,Staten Island,2,All Case Types,50,101
06/30/2019,Staten Island,3,All Case Types,24,50
06/30/2019,Staten Island,Unknown CD,All Case Types,98,179
05/31/2019,Bronx,1,All Case Types,869,"1,963"
05/31/2019,Bronx,2,All Case Types,466,"1,032"
05/31/2019,Bronx,3,All Case Types,836,"1,949"
05/31/2019,Bronx,4,All Case Types,998,"2,243"
05/31/2019,Bronx,5,All Case Types,917,"2,091"
05/31/2019,Bronx,6,All Case Types,709,"1,619"
05/31/2019,Bronx,7,All Case Types,600,"1,289"
05/31/2019,Bronx,8,All Case Types,183,363
05/31/2019,Bronx,9,All Case Types,825,"1,878"
05/31/2019,Bronx,10,All Case Types,235,506
05/31/2019,Bronx,11,All Case Types,366,777
05/31/2019,Bronx,12,All Case Types,839,"1,814"
05/31/2019,Bronx,Unknown CD,All Case Types,"1,524","2,711"
05/31/2019,Brooklyn,1,All Case Types,228,444
05/31/2019,Brooklyn,2,All Case Types,263,428
05/31/2019,Brooklyn,3,All Case Types,903,"1,727"
05/31/2019,Brooklyn,4,All Case Types,354,672
05/31/2019,Brooklyn,5,All Case Types,"1,267","2,634"
05/31/2019,Brooklyn,6,All Case Types,145,268
05/31/2019,Brooklyn,7,All Case Types,122,244
05/31/2019,Brooklyn,8,All Case Types,448,861
05/31/2019,Brooklyn,9,All Case Types,335,604
05/31/2019,Brooklyn,10,All Case Types,64,115
05/31/2019,Brooklyn,11,All Case Types,106,216
05/31/2019,Brooklyn,12,All Case Types,79,130
05/31/2019,Brooklyn,13,All Case Types,202,412
05/31/2019,Brooklyn,14,All Case Types,309,602
05/31/2019,Brooklyn,15,All Case Types,89,154
05/31/2019,Brooklyn,16,All Case Types,731,"1,518"
05/31/2019,Brooklyn,17,All Case Types,624,"1,305"
05/31/2019,Brooklyn,18,All Case Types,413,835
05/31/2019,Brooklyn,Unknown CD,All Case Types,"1,274","2,188"
05/31/2019,Manhattan,1,All Case Types,221,459
05/31/2019,Manhattan,2,All Case Types,29,38
05/31/2019,Manhattan,3,All Case Types,347,623
05/31/2019,Manhattan,4,All Case Types,210,305
05/31/2019,Manhattan,5,All Case Types,90,125
05/31/2019,Manhattan,6,All Case Types,113,144
05/31/2019,Manhattan,7,All Case Types,180,304
05/31/2019,Manhattan,8,All Case Types,81,117
05/31/2019,Manhattan,9,All Case Types,379,668
05/31/2019,Manhattan,10,All Case Types,756,"1,363"
05/31/2019,Manhattan,11,All Case Types,764,"1,393"
05/31/2019,Manhattan,12,All Case Types,403,740
05/31/2019,Manhattan,Unknown CD,All Case Types,"1,845","2,567"
05/31/2019,Queens,1,All Case Types,544,727
05/31/2019,Queens,2,All Case Types,277,354
05/31/2019,Queens,3,All Case Types,149,298
05/31/2019,Queens,4,All Case Types,118,208
05/31/2019,Queens,5,All Case Types,131,249
05/31/2019,Queens,6,All Case Types,27,45
05/31/2019,Queens,7,All Case Types,124,210
05/31/2019,Queens,8,All Case Types,152,277
05/31/2019,Queens,9,All Case Types,159,293
05/31/2019,Queens,10,All Case Types,137,257
05/31/2019,Queens,11,All Case Types,20,28
05/31/2019,Queens,12,All Case Types,894,"1,764"
05/31/2019,Queens,13,All Case Types,331,616
05/31/2019,Queens,14,All Case Types,487,997
05/31/2019,Queens,Unknown CD,All Case Types,"1,040","1,862"
05/31/2019,Staten Island,1,All Case Types,392,883
05/31/2019,Staten Island,2,All Case Types,49,100
05/31/2019,Staten Island,3,All Case Types,24,51
05/31/2019,Staten Island,Unknown CD,All Case Types,103,186
04/30/2019,Bronx,1,All Case Types,906,"2,036"
04/30/2019,Bronx,2,All Case Types,460,"1,018"
04/30/2019,Bronx,3,All Case Types,830,"1,913"
04/30/2019,Bronx,4,All Case Types,"1,020","2,286"
04/30/2019,Bronx,5,All Case Types,947,"2,141"
04/30/2019,Bronx,6,All Case Types,730,"1,669"
04/30/2019,Bronx,7,All Case Types,603,"1,271"
04/30/2019,Bronx,8,All Case Types,195,384
04/30/2019,Bronx,9,All Case Types,866,"1,942"
04/30/2019,Bronx,10,All Case Types,232,494
04/30/2019,Bronx,11,All Case Types,365,777
04/30/2019,Bronx,12,All Case Types,834,"1,812"
04/30/2019,Bronx,Unknown CD,All Case Types,"1,568","2,736"
04/30/2019,Brooklyn,1,All Case Types,228,435
04/30/2019,Brooklyn,2,All Case Types,276,455
04/30/2019,Brooklyn,3,All Case Types,936,"1,757"
04/30/2019,Brooklyn,4,All Case Types,376,708
04/30/2019,Brooklyn,5,All Case Types,"1,296","2,671"
04/30/2019,Brooklyn,6,All Case Types,164,288
04/30/2019,Brooklyn,7,All Case Types,137,275
04/30/2019,Brooklyn,8,All Case Types,456,876
04/30/2019,Brooklyn,9,All Case Types,348,625
04/30/2019,Brooklyn,10,All Case Types,65,115
04/30/2019,Brooklyn,11,All Case Types,104,213
04/30/2019,Brooklyn,12,All Case Types,87,140
04/30/2019,Brooklyn,13,All Case Types,210,408
04/30/2019,Brooklyn,14,All Case Types,314,620
04/30/2019,Brooklyn,15,All Case Types,88,157
04/30/2019,Brooklyn,16,All Case Types,761,"1,576"
04/30/2019,Brooklyn,17,All Case Types,650,"1,363"
04/30/2019,Brooklyn,18,All Case Types,416,841
04/30/2019,Brooklyn,Unknown CD,All Case Types,"1,317","2,244"
04/30/2019,Manhattan,1,All Case Types,228,461
04/30/2019,Manhattan,2,All Case Types,34,41
04/30/2019,Manhattan,3,All Case Types,358,639
04/30/2019,Manhattan,4,All Case Types,225,320
04/30/2019,Manhattan,5,All Case Types,96,133
04/30/2019,Manhattan,6,All Case Types,116,144
04/30/2019,Manhattan,7,All Case Types,179,289
04/30/2019,Manhattan,8,All Case Types,80,110
04/30/2019,Manhattan,9,All Case Types,373,659
04/30/2019,Manhattan,10,All Case Types,765,"1,370"
04/30/2019,Manhattan,11,All Case Types,794,"1,434"
04/30/2019,Manhattan,12,All Case Types,399,745
04/30/2019,Manhattan,Unknown CD,All Case Types,"1,880","2,615"
04/30/2019,Queens,1,All Case Types,539,740
04/30/2019,Queens,2,All Case Types,276,347
04/30/2019,Queens,3,All Case Types,143,296
04/30/2019,Queens,4,All Case Types,126,213
04/30/2019,Queens,5,All Case Types,137,258
04/30/2019,Queens,6,All Case Types,32,53
04/30/2019,Queens,7,All Case Types,119,205
04/30/2019,Queens,8,All Case Types,153,271
04/30/2019,Queens,9,All Case Types,162,306
04/30/2019,Queens,10,All Case Types,141,267
04/30/2019,Queens,11,All Case Types,18,26
04/30/2019,Queens,12,All Case Types,910,"1,778"
04/30/2019,Queens,13,All Case Types,334,628
04/30/2019,Queens,14,All Case Types,504,"1,048"
04/30/2019,Queens,Unknown CD,All Case Types,"1,067","1,902"
04/30/2019,Staten Island,1,All Case Types,410,924
04/30/2019,Staten Island,2,All Case Types,46,94
04/30/2019,Staten Island,3,All Case Types,21,41
04/30/2019,Staten Island,Unknown CD,All Case Types,120,219
03/31/2019,Bronx,1,All Case Types,934,"2,100"
03/31/2019,Bronx,2,All Case Types,460,"1,016"
03/31/2019,Bronx,3,All Case Types,826,"1,948"
03/31/2019,Bronx,4,All Case Types,"1,049","2,374"
03/31/2019,Bronx,5,All Case Types,957,"2,206"
03/31/2019,Bronx,6,All Case Types,743,"1,722"
03/31/2019,Bronx,7,All Case Types,643,"1,370"
03/31/2019,Bronx,8,All Case Types,194,388
03/31/2019,Bronx,9,All Case Types,898,"2,023"
03/31/2019,Bronx,10,All Case Types,233,503
03/31/2019,Bronx,11,All Case Types,383,800
03/31/2019,Bronx,12,All Case Types,848,"1,871"
03/31/2019,Bronx,Unknown CD,All Case Types,"1,602","2,892"
